Model,TrainingSize,TestSize,SubUsed,Route,Direction,MAE TRAIN,MAE,MSE,RMSE,R2,MPE,Features
XGBoost,6149,2636,102_9,102_IB,IB,3.8876166,4.367464,33.172478,5.7595553,0.5327990563640204,-0.013397729,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,6149,2636,102_9,102_IB,IB,3.4734189141417207,4.431913491817234,33.83258450754845,5.816578419272661,0.5235021261889243,-0.014116409303293238,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,6149,2636,102_9,102_IB,IB,5.022657741862669,5.088086917373014,42.90961637235913,6.550543212006096,0.3956612755104113,-0.024532469849626017,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,5922,2538,102_8,102_OB,OB,4.5172014,4.8220825,41.68911,6.4567103,0.44332405141962616,-0.01022401,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,5922,2538,102_8,102_OB,OB,3.939119934647883,4.918868252865564,42.16872845247846,6.4937453332016695,0.4369196990872587,-0.01706135637756279,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,5922,2538,102_8,102_OB,OB,5.435594723565215,5.538951265608141,54.703472100499376,7.396179561131502,0.26954288967870155,0.0024416330161352285,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2659,1140,104_16,104_IB,IB,4.0375695,4.624372,44.263027,6.6530466,0.2931050897257297,-0.022573143,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2659,1140,104_16,104_IB,IB,3.736947180899851,4.704419138132956,44.5945327826139,6.6779138046708795,0.2878108454967896,-0.0317554346038046,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2659,1140,104_16,104_IB,IB,5.344195523955532,5.234719311407204,55.72251082058468,7.464751222953427,0.1100934264394805,0.0001984479868385012,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2113,906,104_15,104_OB,OB,3.2498574,3.8107522,29.841421,5.4627304,0.4871004398487351,-0.015035293,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2113,906,104_15,104_OB,OB,2.9301953316319427,3.942415650727833,30.9230039713529,5.560845616572438,0.46851073084434414,-0.023608668918979194,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2113,906,104_15,104_OB,OB,5.334260103615147,5.384667151201203,49.36491872319417,7.02601727319213,0.15154023850901643,-0.04720752154670148,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,1907,818,111_8,111_IB,IB,6.085014,7.0538454,68.60676,8.28292,0.029559239730657327,-0.02367908,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,1907,818,111_8,111_IB,IB,5.786325555188236,6.952981354283068,67.16454206701664,8.195397614943197,0.04995937717377463,-0.02764791516554796,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,1907,818,111_8,111_IB,IB,6.718556708665826,7.195962330397808,75.98202978323918,8.716767163532543,-0.07476374702059752,-0.036448015214779445,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2494,1069,111_7,111_OB,OB,3.2376318,3.820701,30.522558,5.5247226,0.5801520212197879,-0.0061823465,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2494,1069,111_7,111_OB,OB,3.0943147843906744,3.984479012958268,31.68228716739543,5.628702085507407,0.5641995792286395,-0.013890086614332518,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
