Model,TrainingSize,TestSize,PercentOutliers,SubUsed,Route,Direction,MAE TRAIN,MAE,MSE,RMSE,R2,MPE,Features
XGBoost,6146,2634,0.05694760820045558,102_9,102_IB,IB,2.8192923,4.677417,37.472523,6.1214805,0.48913164016612376,-0.010519626,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,6146,2634,0.05694760820045558,102_9,102_IB,IB,2.410946318104376,4.731412846589761,38.748926252210026,6.224863552898973,0.4717302294148379,-0.00882305952556183,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,6146,2634,0.05694760820045558,102_9,102_IB,IB,5.192046315781614,5.373129307496438,47.80873148130955,6.914385835438282,0.34821658161021807,-0.024342220680810496,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,5915,2536,0.10649627263045794,102_8,102_OB,OB,3.1820216,5.0310273,43.45188,6.591804,0.39248188290001584,-0.0066144518,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,5915,2536,0.10649627263045794,102_8,102_OB,OB,2.7720760161326434,5.17160973741958,46.074471263550684,6.7878178572756855,0.3558143940526538,-0.008345357642673823,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,5915,2536,0.10649627263045794,102_8,102_OB,OB,5.560223157691881,5.571564563490893,53.69641977979033,7.327784097514769,0.24924888415568947,0.004841831456221697,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2638,1131,0.7959671000265323,104_16,104_IB,IB,1.6143278,4.857739,44.67585,6.6839995,0.20268524216006134,-0.015509939,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2638,1131,0.7959671000265323,104_16,104_IB,IB,1.8364287289007764,4.691557536338094,42.53944188512313,6.522226758180302,0.24081300516792026,-0.018227000286043467,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2638,1131,0.7959671000265323,104_16,104_IB,IB,5.179667546891552,5.2776021824951505,52.6984437720151,7.259369378397486,0.05950874325892275,0.014410650656462272,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2104,903,0.39906883937479215,104_15,104_OB,OB,1.1470183,3.9957373,31.544775,5.6164737,0.40984419014870266,-0.017094651,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
