Model,TrainingSize,TestSize,Route,Direction,MAE TRAIN,MAE,MSE,RMSE,R2,MPE,Features
XGBoost,6475,2775,102_IB,IB,3.7524753,6.071792,73.39565,8.567126,0.4093113550386388,-0.029654147,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,6475,2775,102_IB,IB,3.3213735797427595,6.261032236102278,78.38248107907543,8.853388112981122,0.3691773432859944,-0.03190820808048532,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,6475,2775,102_IB,IB,5.9890862092189785,6.322963393451371,71.0549858436553,8.42941195123689,0.4281490669139276,-0.01392613101422466,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,5922,2538,102_OB,OB,3.2083874,5.17029,47.290356,6.876798,0.35755519638822764,-0.011859377,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,5922,2538,102_OB,OB,2.750255135232873,5.395520154315185,51.008350719588734,7.142013071927882,0.30704580832669015,-0.012082306201895085,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,5922,2538,102_OB,OB,5.626022259220658,5.6337454110521845,56.557027733903055,7.520440660885708,0.2316664059137855,0.002990026652853946,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2659,1140,104_IB,IB,1.5848153,5.2320194,54.3331,7.371099,0.16642061009659737,-0.016365664,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2659,1140,104_IB,IB,1.8443301903345208,5.027992542689307,50.2210703396816,7.08668260469464,0.22950743926592698,-0.018569050500958077,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2659,1140,104_IB,IB,5.3856255263279635,5.712051616438785,62.4716234358674,7.9038992551694,0.04155923422675967,-0.008624502197231888,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2113,906,104_OB,OB,1.1250805,4.15751,35.020428,5.917806,0.44225325169277974,-0.013103034,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2113,906,104_OB,OB,1.5342041937818587,4.029370761272923,33.504778172911735,5.788331207948603,0.4663919458998921,-0.018831079066837442,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2113,906,104_OB,OB,5.212894050418282,5.543302893802625,54.704890092660555,7.396275420281519,0.12875203048783457,-0.02036701274262394,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2503,1074,111_IB,IB,3.038198,6.96139,92.56727,9.621188,0.5311115749566264,-0.09638842,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2503,1074,111_IB,IB,3.31945800459286,6.754149109610809,82.32158822761765,9.073124501935244,0.5830098256231819,-0.08252973449884116,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2503,1074,111_IB,IB,8.410856762474806,8.505212493266082,126.63406930988145,11.25318040866143,0.35855024446845896,-0.14694550365100545,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2494,1069,111_OB,OB,1.582332,4.218752,34.11074,5.8404403,0.47019325264770695,-0.018386489,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2494,1069,111_OB,OB,1.8163101468840586,4.183143643567894,33.99789050687503,5.83077100449632,0.4719460898554929,-0.024472917787022586,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2494,1069,111_OB,OB,4.641276533693636,4.810958879179256,41.83550717463328,6.468037351054281,0.3502125332753697,-0.01463216014942806,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2874,1233,114_IB,IB,1.3770361,3.730023,29.49521,5.430949,0.5109380878991048,-0.0181058,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2874,1233,114_IB,IB,1.519470103371712,3.5980419144283573,28.160209088536046,5.306619365333832,0.5330738480500141,-0.02369322928648461,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2874,1233,114_IB,IB,4.524973535589067,4.628897445517095,41.019565902981206,6.404651895535089,0.31985206496442375,-0.03583900282845869,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,2907,1246,114_OB,OB,1.5002476,3.5281906,23.378433,4.835125,0.4954397904008546,-0.025565904,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
RandomForest,2907,1246,114_OB,OB,1.528714820598283,3.3886477723224893,22.007731932586704,4.691239914200371,0.5250227029535778,-0.02895098828391887,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
NeuralNet,2907,1246,114_OB,OB,4.311555967554703,4.225359353440115,32.55035608843212,5.705291937178335,0.29748870987066545,-0.03882782007022106,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
XGBoost,76,33,116_IB,IB,0.00065361825,9.700769,142.79514,11.949692,0.19561064513884951,0.020522313,"[Index(['temp', 'feels_like', 'humidity', 'wind_speed', 'rain_1h', 'clouds_all',
       'weather_main', 'Weekday', 'Hour', 'Month', 'TimeOfDay', 'Seasons',
       'RushHour'],
      dtype='object')]"
