Route,SUB,Direction,StopOrder,StopID,PercentDone,ID
41_OB_extra,41_22,OB,1,288,0,1
41_OB_extra,41_22,OB,2,1171,1.88,2
41_OB_extra,41_22,OB,3,1172,3.85,3
41_OB_extra,41_22,OB,4,1173,5.82,4
41_OB_extra,41_22,OB,5,1174,8.32,5
41_OB_extra,41_22,OB,6,1175,10.57,6
41_OB_extra,41_22,OB,7,15,13.39,7
41_OB_extra,41_22,OB,8,17,16.32,8
41_OB_extra,41_22,OB,9,18,18.66,9
41_OB_extra,41_22,OB,10,19,19.52,10
41_OB_extra,41_22,OB,11,21,21.4,11
41_OB_extra,41_22,OB,12,7602,22.63,12
41_OB_extra,41_22,OB,13,85,24.12,13
41_OB_extra,41_22,OB,14,203,26.21,14
41_OB_extra,41_22,OB,15,204,28.01,15
41_OB_extra,41_22,OB,16,205,29.06,16
41_OB_extra,41_22,OB,17,1620,31.04,17
41_OB_extra,41_22,OB,18,220,33.89,18
41_OB_extra,41_22,OB,19,1622,35.93,19
41_OB_extra,41_22,OB,20,1623,37.1,20
41_OB_extra,41_22,OB,21,1624,39.93,21
41_OB_extra,41_22,OB,22,1625,43.1,22
41_OB_extra,41_22,OB,23,1626,44.83,23
41_OB_extra,41_22,OB,24,1627,47.16,24
41_OB_extra,41_22,OB,25,1628,48.86,25
41_OB_extra,41_22,OB,26,1629,50.03,26
41_OB_extra,41_22,OB,27,1630,52.2,27
41_OB_extra,41_22,OB,28,7685,57.81,28
41_OB_extra,41_22,OB,29,7348,58.24,29
41_OB_extra,41_22,OB,30,3669,63.36,30
41_OB_extra,41_22,OB,31,3671,65.03,31
41_OB_extra,41_22,OB,32,3672,65.74,32
41_OB_extra,41_22,OB,33,3674,68.33,33
41_OB_extra,41_22,OB,34,3675,69.01,34
41_OB_extra,41_22,OB,35,3676,71.67,35
41_OB_extra,41_22,OB,36,5073,73.51,36
41_OB_extra,41_22,OB,37,5074,75.02,37
41_OB_extra,41_22,OB,38,6054,76.42,38
41_OB_extra,41_22,OB,39,4330,77.42,39
41_OB_extra,41_22,OB,40,3679,84.12,40
41_OB_extra,41_22,OB,41,5075,87.69,41
41_OB_extra,41_22,OB,42,5076,89.02,42
41_OB_extra,41_22,OB,43,3682,89.91,43
41_OB_extra,41_22,OB,45,3864,91.11,44
41_OB_extra,41_22,OB,46,3865,92.2,45
41_OB_extra,41_22,OB,47,4910,93.67,46
41_OB_extra,41_22,OB,48,4911,94.14,47
41_OB_extra,41_22,OB,49,4912,94.61,48
41_OB_extra,41_22,OB,50,4913,95.57,49
41_OB_extra,41_22,OB,51,4914,96.39,50
41_OB_extra,41_22,OB,52,4915,97.86,51
41_OB_extra,41_22,OB,53,4957,100,52
84A_IB_extra,84A_4,IB,1,4168,0,53
84A_IB_extra,84A_4,IB,2,4170,2.38,54
84A_IB_extra,84A_4,IB,3,4153,6.96,55
84A_IB_extra,84A_4,IB,4,4154,9.37,56
84A_IB_extra,84A_4,IB,5,4416,11.49,57
84A_IB_extra,84A_4,IB,6,4201,14.22,58
84A_IB_extra,84A_4,IB,7,4202,16.61,59
84A_IB_extra,84A_4,IB,8,4203,17.64,60
84A_IB_extra,84A_4,IB,9,4204,18.74,61
84A_IB_extra,84A_4,IB,10,4205,19.11,62
84A_IB_extra,84A_4,IB,11,4206,20.32,63
84A_IB_extra,84A_4,IB,12,3140,21.82,64
84A_IB_extra,84A_4,IB,13,3141,24.7,65
84A_IB_extra,84A_4,IB,14,3142,26.8,66
84A_IB_extra,84A_4,IB,15,3143,29.06,67
84A_IB_extra,84A_4,IB,16,3144,30.83,68
84A_IB_extra,84A_4,IB,17,5047,39.11,69
84A_IB_extra,84A_4,IB,18,3146,47.49,70
84A_IB_extra,84A_4,IB,19,3147,48.89,71
84A_IB_extra,84A_4,IB,20,3148,49.85,72
84A_IB_extra,84A_4,IB,21,3149,52.37,73
84A_IB_extra,84A_4,IB,22,3150,54.02,74
84A_IB_extra,84A_4,IB,23,3151,55.76,75
84A_IB_extra,84A_4,IB,24,3153,57.35,76
84A_IB_extra,84A_4,IB,25,3152,59.48,77
84A_IB_extra,84A_4,IB,26,2995,60.74,78
84A_IB_extra,84A_4,IB,27,3154,61.58,79
84A_IB_extra,84A_4,IB,28,3155,62.37,80
84A_IB_extra,84A_4,IB,29,3156,63.35,81
84A_IB_extra,84A_4,IB,30,3158,66.76,82
84A_IB_extra,84A_4,IB,31,3159,68.37,83
84A_IB_extra,84A_4,IB,32,3160,69.04,84
84A_IB_extra,84A_4,IB,33,3161,71.12,85
84A_IB_extra,84A_4,IB,34,3162,72.38,86
84A_IB_extra,84A_4,IB,35,3163,74.55,87
84A_IB_extra,84A_4,IB,36,3164,77.41,88
84A_IB_extra,84A_4,IB,37,7653,78.87,89
84A_IB_extra,84A_4,IB,38,3079,79.27,90
84A_IB_extra,84A_4,IB,39,3080,81.93,91
84A_IB_extra,84A_4,IB,40,3082,83.37,92
84A_IB_extra,84A_4,IB,41,3084,85.92,93
84A_IB_extra,84A_4,IB,42,469,88.35,94
84A_IB_extra,84A_4,IB,43,470,89.97,95
84A_IB_extra,84A_4,IB,44,471,90.68,96
84A_IB_extra,84A_4,IB,45,472,91.57,97
84A_IB_extra,84A_4,IB,46,473,93.3,98
84A_IB_extra,84A_4,IB,47,4705,94.21,99
84A_IB_extra,84A_4,IB,48,475,95.59,100
84A_IB_extra,84A_4,IB,49,476,97.24,101
84A_IB_extra,84A_4,IB,50,477,98,102
84A_IB_extra,84A_4,IB,51,478,100,103
84_IB_extra,84_31,IB,1,4260,0,104
84_IB_extra,84_31,IB,2,4261,0.33,105
84_IB_extra,84_31,IB,3,7271,1.22,106
84_IB_extra,84_31,IB,4,5136,1.42,107
84_IB_extra,84_31,IB,5,4262,2.56,108
84_IB_extra,84_31,IB,6,4263,3.54,109
84_IB_extra,84_31,IB,7,4264,4.24,110
84_IB_extra,84_31,IB,8,7296,4.91,111
84_IB_extra,84_31,IB,9,4265,5.51,112
84_IB_extra,84_31,IB,10,4266,6.79,113
84_IB_extra,84_31,IB,11,4307,9.2,114
84_IB_extra,84_31,IB,12,4308,10.74,115
84_IB_extra,84_31,IB,13,4267,12.03,116
84_IB_extra,84_31,IB,14,4268,12.55,117
84_IB_extra,84_31,IB,15,4269,13.57,118
84_IB_extra,84_31,IB,16,4270,14.28,119
84_IB_extra,84_31,IB,17,4271,14.75,120
84_IB_extra,84_31,IB,18,4273,15.21,121
84_IB_extra,84_31,IB,19,4274,16.6,122
84_IB_extra,84_31,IB,20,4275,17.32,123
84_IB_extra,84_31,IB,21,4276,17.74,124
84_IB_extra,84_31,IB,22,4277,19.07,125
84_IB_extra,84_31,IB,23,4278,19.66,126
84_IB_extra,84_31,IB,24,4279,20.53,127
84_IB_extra,84_31,IB,25,4280,20.95,128
84_IB_extra,84_31,IB,26,4281,21.49,129
84_IB_extra,84_31,IB,27,4282,21.89,130
84_IB_extra,84_31,IB,28,4283,23.34,131
