Route,SUB,Direction,StopOrder,StopID,PercentDone
111_IB_extra,111_9,IB,1,3057,0.0
111_IB_extra,111_9,IB,2,3058,0.62
111_IB_extra,111_9,IB,3,3059,2.03
111_IB_extra,111_9,IB,4,3060,2.81
111_IB_extra,111_9,IB,5,3061,3.61
111_IB_extra,111_9,IB,6,3062,4.93
111_IB_extra,111_9,IB,7,3063,6.72
111_IB_extra,111_9,IB,8,3064,7.62
111_IB_extra,111_9,IB,9,3065,8.98
111_IB_extra,111_9,IB,10,3066,11.29
111_IB_extra,111_9,IB,11,3067,12.24
111_IB_extra,111_9,IB,12,3068,14.42
111_IB_extra,111_9,IB,13,3069,15.53
111_IB_extra,111_9,IB,14,3070,17.77
111_IB_extra,111_9,IB,15,4983,22.06
111_IB_extra,111_9,IB,16,7648,26.03
111_IB_extra,111_9,IB,17,2042,32.04
111_IB_extra,111_9,IB,18,2043,32.58
111_IB_extra,111_9,IB,19,2044,33.25
111_IB_extra,111_9,IB,20,2045,34.61
111_IB_extra,111_9,IB,21,2046,36.51
111_IB_extra,111_9,IB,22,7553,40.61
111_IB_extra,111_9,IB,23,6082,42.16
111_IB_extra,111_9,IB,24,3205,44.19
111_IB_extra,111_9,IB,25,3206,45.18
111_IB_extra,111_9,IB,26,3207,46.45
111_IB_extra,111_9,IB,27,3208,47.42
111_IB_extra,111_9,IB,28,3209,48.36
111_IB_extra,111_9,IB,29,3210,49.03
111_IB_extra,111_9,IB,30,4981,50.12
111_IB_extra,111_9,IB,31,3211,50.95
111_IB_extra,111_9,IB,32,3212,53.75
111_IB_extra,111_9,IB,33,3213,55.17
111_IB_extra,111_9,IB,34,3214,58.69
111_IB_extra,111_9,IB,35,3215,59.83
111_IB_extra,111_9,IB,36,3216,60.86
111_IB_extra,111_9,IB,37,3217,61.63
111_IB_extra,111_9,IB,38,3218,62.98
111_IB_extra,111_9,IB,39,3219,65.85
111_IB_extra,111_9,IB,40,3220,68.27
111_IB_extra,111_9,IB,41,3221,69.62
111_IB_extra,111_9,IB,42,3222,72.42
111_IB_extra,111_9,IB,43,3223,75.4
111_IB_extra,111_9,IB,44,3134,79.45
111_IB_extra,111_9,IB,45,3143,81.39
111_IB_extra,111_9,IB,46,3144,83.72
111_IB_extra,111_9,IB,47,5046,87.22
111_IB_extra,111_9,IB,48,7639,100.0
120_IB_extra,120_11,IB,1,284,0.0
120_IB_extra,120_11,IB,2,4504,3.51
120_IB_extra,120_11,IB,3,7028,7.88
120_IB_extra,120_11,IB,4,5147,14.88
120_IB_extra,120_11,IB,5,68,18.33
120_IB_extra,120_11,IB,6,30,19.36
120_IB_extra,120_11,IB,7,69,20.46
120_IB_extra,120_11,IB,8,828,21.75
120_IB_extra,120_11,IB,9,829,23.29
120_IB_extra,120_11,IB,10,830,24.65
120_IB_extra,120_11,IB,11,831,26.1
120_IB_extra,120_11,IB,12,75,28.15
120_IB_extra,120_11,IB,13,4501,30.24
120_IB_extra,120_11,IB,14,4935,31.9
120_IB_extra,120_11,IB,15,4502,33.03
120_IB_extra,120_11,IB,16,4936,34.14
120_IB_extra,120_11,IB,17,79,36.63
120_IB_extra,120_11,IB,18,80,40.18
120_IB_extra,120_11,IB,19,82,46.79
120_IB_extra,120_11,IB,20,817,49.31
120_IB_extra,120_11,IB,21,818,50.34
120_IB_extra,120_11,IB,22,819,52.35
120_IB_extra,120_11,IB,23,263,56.88
120_IB_extra,120_11,IB,24,4725,59.64
120_IB_extra,120_11,IB,25,4495,73.23
120_IB_extra,120_11,IB,26,2809,83.49
120_IB_extra,120_11,IB,27,408,87.24
120_IB_extra,120_11,IB,28,409,88.64
120_IB_extra,120_11,IB,29,410,90.93
120_IB_extra,120_11,IB,30,411,92.27
120_IB_extra,120_11,IB,31,412,96.03
120_IB_extra,120_11,IB,32,413,96.89
120_IB_extra,120_11,IB,33,414,98.75
120_IB_extra,120_11,IB,34,415,100.0
120_OB_extra,120_8,OB,1,485,0.0
120_OB_extra,120_8,OB,2,487,2.59
120_OB_extra,120_8,OB,3,488,5.35
120_OB_extra,120_8,OB,4,489,6.63
120_OB_extra,120_8,OB,5,490,8.3
120_OB_extra,120_8,OB,6,491,10.75
120_OB_extra,120_8,OB,7,492,12.69
120_OB_extra,120_8,OB,8,493,16.03
120_OB_extra,120_8,OB,9,494,20.51
120_OB_extra,120_8,OB,10,495,25.57
120_OB_extra,120_8,OB,11,400,27.68
120_OB_extra,120_8,OB,12,279,42.54
120_OB_extra,120_8,OB,13,3,49.83
120_OB_extra,120_8,OB,14,192,55.84
120_OB_extra,120_8,OB,15,795,57.29
120_OB_extra,120_8,OB,16,796,58.68
120_OB_extra,120_8,OB,17,56,65.96
120_OB_extra,120_8,OB,18,58,68.07
120_OB_extra,120_8,OB,19,4499,69.68
120_OB_extra,120_8,OB,20,4934,70.74
120_OB_extra,120_8,OB,21,4500,72.12
120_OB_extra,120_8,OB,22,4481,72.98
120_OB_extra,120_8,OB,23,4485,74.21
120_OB_extra,120_8,OB,24,822,75.99
120_OB_extra,120_8,OB,25,823,77.0
120_OB_extra,120_8,OB,26,824,78.19
120_OB_extra,120_8,OB,27,825,79.3
120_OB_extra,120_8,OB,28,826,80.77
120_OB_extra,120_8,OB,29,827,81.73
120_OB_extra,120_8,OB,30,71,82.8
