Route,Direction,StopOrder,StopID,PercentDone,ID
102,OB,1,4381,-0.01,1
102,OB,2,935,1.36,2
102,OB,3,936,1.86,3
102,OB,4,913,4.36,4
102,OB,5,914,5.43,5
102,OB,6,938,6.97,6
102,OB,7,940,8.61,7
102,OB,8,941,9.37,8
102,OB,9,942,10.5,9
102,OB,10,943,11.96,10
102,OB,11,4503,12.46,11
102,OB,12,3599,13.99,12
102,OB,13,3610,16.52,13
102,OB,14,3611,17.52,14
102,OB,15,6135,18.46,15
102,OB,16,3612,19.25,16
102,OB,17,3613,21.17,17
102,OB,18,3615,22.22,18
102,OB,19,3616,24.94,19
102,OB,20,3618,26.65,20
102,OB,21,3619,28.36,21
102,OB,22,3620,29.83,22
102,OB,23,3622,31.14,23
102,OB,24,3623,32.04,24
102,OB,25,4387,34.52,25
102,OB,26,3634,36.8,26
102,OB,27,3635,39.37,27
102,OB,28,3636,39.77,28
102,OB,29,905,41.78,29
102,OB,30,4331,45.66,30
102,OB,31,3641,48.1,31
102,OB,32,4339,48.73,32
102,OB,33,6010,52.95,33
102,OB,34,3656,55.99,34
102,OB,35,3653,57.2,35
102,OB,36,1039,59.16,36
102,OB,37,1040,60.62,37
102,OB,38,6054,62.18,38
102,OB,39,4330,63.04,39
102,OB,40,3691,66.2,40
102,OB,41,3572,69.72,41
102,OB,42,3701,70.86,42
102,OB,43,3702,72.72,43
102,OB,44,3088,73.68,44
102,OB,45,3704,74.3,45
102,OB,46,3705,75.73,46
102,OB,47,733,77.97,47
102,OB,48,6015,78.84,48
102,OB,49,788,81.43,49
102,OB,50,815,84.2,50
102,OB,51,816,88.04,51
102,OB,52,3663,96.94,52
102,OB,53,7348,100,53
104,OB,1,1730,0,54
104,OB,2,1731,1.04,55
104,OB,3,1732,3.14,56
104,OB,4,1733,4.21,57
104,OB,5,1650,6.65,58
104,OB,6,1652,8.84,59
104,OB,7,5141,9.82,60
104,OB,8,1773,12.08,61
104,OB,9,1774,14.07,62
104,OB,10,1651,17.24,63
104,OB,11,4784,21.47,64
104,OB,12,608,24.88,65
104,OB,13,4791,27.57,66
104,OB,14,4792,28.94,67
104,OB,15,662,29.84,68
104,OB,16,1196,32.17,69
104,OB,17,663,39.15,70
104,OB,18,1197,40.68,71
104,OB,19,4473,45.32,72
104,OB,20,250,48.74,73
104,OB,21,251,50.09,74
104,OB,22,4597,57.56,75
104,OB,23,255,65.93,76
104,OB,24,218,68.6,77
104,OB,25,219,71.57,78
104,OB,26,220,76.13,79
104,OB,27,221,78.49,80
